Trial,MQ136_mean,MQ136_std,MQ136_max,MQ136_min,MQ136_auc,MQ2_mean,MQ2_std,MQ2_max,MQ2_min,MQ2_auc,MQ3_mean,MQ3_std,MQ3_max,MQ3_min,MQ3_auc,MQ135_mean,MQ135_std,MQ135_max,MQ135_min,MQ135_auc,MQ138_mean,MQ138_std,MQ138_max,MQ138_min,MQ138_auc,MQ137_mean,MQ137_std,MQ137_max,MQ137_min,MQ137_auc,Label
Trial 19,22.26829268292683,0.6610311079811738,24.0,20.0,13695.0,130.32682926829267,23.01520555403379,160.0,84.0,80151.0,18.85691056910569,0.8198831267904049,21.0,16.0,11597.0,48.90243902439025,4.420599661610764,56.0,40.0,30075.0,341.4341463414634,21.527259441647818,370.0,289.0,209982.0,452.40162601626014,23.59956587632902,487.0,403.0,278227.0,Fish Sauce
Trial 2,20.058236272878535,0.5636842947151989,21.0,18.0,12055.0,140.2828618968386,23.18291274603442,172.0,97.0,84310.0,18.321131447587355,0.6789215665574629,20.0,17.0,11011.0,76.63560732113145,5.7062300663044585,86.0,66.0,46058.0,384.4841930116473,21.498910696144964,416.0,341.0,231075.0,447.0648918469218,24.329356466071903,484.0,403.0,268686.0,Fish Sauce
Trial 20,22.563218390804597,0.8061912439139889,25.0,20.0,13741.0,128.52380952380952,24.781670777120553,157.0,73.0,78271.0,20.952380952380953,1.1797546763012188,23.0,18.0,12760.0,76.3152709359606,7.193486834714291,86.0,60.0,46476.0,467.11001642036126,21.20018081295991,495.0,413.0,284470.0,549.1642036124795,22.176985497986827,581.0,495.0,334441.0,Fish Sauce
Trial 21,22.37271214642263,0.7071214634432439,25.0,20.0,13446.0,153.1747088186356,16.153313696713482,180.0,116.0,92058.0,19.750415973377702,0.8285287523809234,22.0,17.0,11870.0,62.81031613976705,3.8174605509586517,71.0,54.0,37749.0,412.80865224625626,16.067505007061484,442.0,384.0,248098.0,511.88519134775373,18.659889546168266,544.0,470.0,307643.0,Fish Sauce
Trial 22,,,,,,138.26065573770492,22.324857708419007,166.0,91.0,84339.0,21.508196721311474,1.2600149728445804,25.0,18.0,13120.0,79.03934426229509,8.049137591285831,90.0,60.0,48214.0,478.9032786885246,23.457995017345535,508.0,422.0,292131.0,567.6934426229508,26.65485757625882,600.0,506.0,346293.0,Fish Sauce
Trial 3,20.129783693843596,0.5470794822210212,21.0,19.0,12098.0,139.8269550748752,19.810416062567313,168.0,98.0,84036.0,18.53910149750416,0.829300283219639,20.0,17.0,11142.0,73.9018302828619,4.967650423148125,82.0,64.0,44415.0,394.53910149750413,19.889266292866782,420.0,347.0,237118.0,451.2412645590682,22.293236203630027,484.0,407.0,271196.0,Fish Sauce
Trial 4,20.249584026622298,0.5420157054638517,23.0,19.0,12170.0,141.35108153078204,20.639240278239495,171.0,100.0,84952.0,18.64226289517471,0.807706766347539,22.0,17.0,11204.0,74.76539101497504,5.163857522659643,83.0,64.0,44934.0,404.0881863560732,16.81683284965963,425.0,359.0,242857.0,461.01331114808653,20.401538778822196,489.0,417.0,277069.0,Fish Sauce
Trial 5,20.044925124792012,0.5559944421348874,23.0,18.0,12047.0,137.06322795341097,21.213658259127747,168.0,96.0,82375.0,18.409317803660567,0.8312809315671744,21.0,16.0,11064.0,73.53743760399334,5.106096915811608,82.0,63.0,44196.0,402.2579034941764,18.546026970845595,427.0,353.0,241757.0,451.47254575707154,20.8639438925243,484.0,407.0,271335.0,Fish Sauce
Trial 6,20.62063227953411,0.49875745730858695,21.0,19.0,12393.0,147.6422628951747,16.26200242894785,171.0,116.0,88733.0,18.615640599001665,0.5829139297813061,20.0,17.0,11188.0,59.470881863560734,5.988027493722611,69.0,46.0,35742.0,382.28785357737104,22.219941326750863,411.0,320.0,229755.0,453.61730449251246,21.26835040243433,481.0,401.0,272624.0,Fish Sauce
Trial 7,20.582226762002044,0.5771710318961769,25.0,18.0,20150.0,149.94075587334015,25.360255470897503,180.0,92.0,146792.0,18.876404494382022,0.8880347193312416,20.0,16.0,18480.0,61.99897854954035,7.192451423940957,72.0,45.0,60697.0,389.8304392236976,29.215235452492415,424.0,311.0,381644.0,447.1133810010214,30.35342405895998,485.0,372.0,437724.0,Fish Sauce
Trial 8,20.221297836938437,0.62072818019578,22.0,18.0,12153.0,135.63893510815308,19.05891771036063,157.0,86.0,81519.0,18.173044925124792,0.6602617942277452,19.0,17.0,10922.0,58.31946755407654,3.6339731398832855,64.0,51.0,35050.0,381.13643926788683,13.383428548042334,402.0,349.0,229063.0,462.8685524126456,15.096617048987897,482.0,426.0,278184.0,Fish Sauce
Trial 9,22.988352745424294,0.527005272997344,24.0,21.0,13816.0,166.9883527454243,25.488143420493717,197.0,114.0,100360.0,19.71214642262895,0.6742239405331395,21.0,17.0,11847.0,57.983361064891845,6.529573528720686,68.0,44.0,34848.0,354.2479201331115,27.642177011174102,387.0,283.0,212903.0,440.58236272878537,28.327364081664626,476.0,376.0,264790.0,Fish Sauce
Trial ,21.106969205834684,0.6064750992854859,24.0,19.0,13023.0,86.44084278768233,6.063693634168915,98.0,77.0,53334.0,17.80551053484603,0.5787446093248442,20.0,16.0,10986.0,46.70988654781199,0.8358554193784292,49.0,45.0,28820.0,327.7617504051864,3.2100877537302535,337.0,322.0,202229.0,425.65640194489464,3.2679270468691777,438.0,420.0,262630.0,Oyster Sauce
Trial 1,23.16638935108153,0.8491564424259853,25.0,21.0,13923.0,161.45757071547422,19.339387965426383,184.0,120.0,97036.0,18.537437603993343,0.5182327160041338,21.0,17.0,11141.0,63.249584026622294,6.244673256987394,71.0,50.0,38013.0,333.9467554076539,30.7134330330224,369.0,262.0,200702.0,431.5074875207987,26.720660626870114,463.0,370.0,259336.0,Oyster Sauce
Trial 10,19.24418604651163,0.48069829322312524,20.0,18.0,11585.0,84.54983388704319,4.066516092253007,92.0,79.0,50899.0,16.704318936877076,0.46357123541678735,18.0,16.0,10056.0,51.088039867109636,0.9006585695343879,56.0,49.0,30755.0,345.1179401993355,3.682279159756545,353.0,340.0,207761.0,406.890365448505,4.413578436742453,416.0,399.0,244948.0,Oyster Sauce
Trial 11,24.9567387687188,1.0212999513659284,27.0,23.0,14999.0,138.41930116472545,14.452650103670148,156.0,107.0,83190.0,19.52079866888519,0.5651999140364825,24.0,18.0,11732.0,61.204658901830285,5.213228239520043,68.0,50.0,36784.0,367.47088186356075,24.462125311654383,391.0,301.0,220850.0,451.8452579034942,21.188662438871898,481.0,404.0,271559.0,Oyster Sauce
Trial 12,21.026622296173045,0.2432928682387253,22.0,20.0,12637.0,105.03826955074875,11.394025918122615,121.0,83.0,63128.0,17.653910149750416,0.4861018688183541,20.0,17.0,10610.0,53.74376039933444,3.2000777604678254,59.0,47.0,32300.0,330.27953410981695,16.164454248360475,351.0,295.0,198498.0,415.72046589018305,14.370602171492296,436.0,388.0,249848.0,Oyster Sauce
Trial 13,20.123128119800334,0.35767905731892013,21.0,19.0,12094.0,92.90848585690516,9.175853315275038,107.0,77.0,55838.0,17.148086522462563,0.43518370573642695,20.0,15.0,10306.0,51.277870216306155,2.21347998268305,55.0,48.0,30818.0,316.0166389351082,11.879443899952893,334.0,296.0,189926.0,404.5873544093178,9.44162059659435,421.0,391.0,243157.0,Oyster Sauce
Trial 14,21.282644628099174,0.6011940853470422,23.0,19.0,12876.0,91.77851239669421,6.55684875192584,102.0,79.0,55526.0,17.86115702479339,0.5306119811281762,20.0,16.0,10806.0,43.788429752066115,1.4954028773967185,47.0,41.0,26492.0,318.6462809917355,8.4152855936993,334.0,303.0,192781.0,402.0115702479339,8.548637609136204,418.0,385.0,243217.0,Oyster Sauce
Trial 15,21.815660685154974,0.5656993497960966,24.0,20.0,13373.0,90.89885807504078,5.616587121935459,102.0,82.0,55721.0,18.03099510603589,0.5455007920879171,20.0,16.0,11053.0,49.182707993474715,0.7128930383047287,51.0,48.0,30149.0,336.7569331158238,2.6536880778976455,344.0,332.0,206432.0,441.0391517128874,2.9842053926079406,451.0,435.0,270357.0,Oyster Sauce
Trial 16,21.32463295269168,0.6288315408055135,23.0,19.0,13072.0,89.33605220228385,6.764842089302353,101.0,78.0,54763.0,17.918433931484504,0.5171160089177252,19.0,16.0,10984.0,48.466557911908644,0.8945771346892639,51.0,46.0,29710.0,336.8564437194127,3.86926801700947,346.0,331.0,206493.0,439.0440456769984,2.849633148514209,447.0,433.0,269134.0,Oyster Sauce
Trial 17,21.115321252059307,0.5228352441388717,23.0,19.0,12817.0,86.9686985172982,6.5901935623450445,98.0,76.0,52790.0,17.761120263591433,0.4842876155732501,19.0,16.0,10781.0,46.06260296540363,1.1023571325280015,48.0,44.0,27960.0,322.51235584843494,5.7852361846273945,333.0,314.0,195765.0,415.53706754530475,4.030140966672644,424.0,409.0,252231.0,Oyster Sauce
Trial 18,21.016339869281047,0.5685617120740581,23.0,20.0,12862.0,85.59803921568627,7.841893283702089,100.0,73.0,52386.0,17.694444444444443,0.6020948059984509,20.0,16.0,10829.0,45.76797385620915,1.504379384546942,49.0,42.0,28010.0,321.4232026143791,8.316393618339415,338.0,309.0,196711.0,412.0767973856209,7.215563983464515,428.0,401.0,252191.0,Oyster Sauce
Trial 19,21.35737704918033,0.6403019309294237,24.0,19.0,13028.0,86.89508196721312,6.4897504619865884,100.0,76.0,53006.0,17.85737704918033,0.6013533961110086,20.0,16.0,10893.0,46.937704918032786,1.163398629852651,50.0,45.0,28632.0,326.655737704918,5.719352381949045,339.0,318.0,199260.0,421.4131147540984,4.348335856915426,433.0,415.0,257062.0,Oyster Sauce
Trial 2,20.082426127527217,0.37955407911812267,23.0,18.0,12913.0,126.29237947122861,15.901379218691178,148.0,96.0,81206.0,17.082426127527217,0.5387495100596511,19.0,16.0,10984.0,57.88802488335925,4.275493076182197,64.0,49.0,37222.0,315.09486780715395,21.07983834990459,341.0,265.0,202606.0,410.4167962674961,21.675404735586707,444.0,358.0,263898.0,Oyster Sauce
Trial 21,,,,,,79.88998357963875,5.453133490036468,89.0,70.0,48653.0,18.48768472906404,0.581823241922055,20.0,17.0,11259.0,59.44006568144499,1.5757097065861432,63.0,56.0,36199.0,402.04269293924466,7.784968251644493,420.0,391.0,244844.0,486.7142857142857,3.9860771062151406,498.0,480.0,296409.0,Oyster Sauce
Trial 22,21.34703947368421,0.6332023236315186,23.0,19.0,12979.0,79.22697368421052,5.000111451320187,89.0,71.0,48170.0,18.488486842105264,0.5875901497110007,21.0,17.0,11241.0,58.797697368421055,1.0529694667405185,62.0,56.0,35749.0,402.97532894736844,4.112446994981269,414.0,397.0,245009.0,486.6381578947368,3.2607097671512513,497.0,481.0,295876.0,Oyster Sauce
Trial 23,21.99334442595674,0.5938864602152502,24.0,20.0,13218.0,87.87354409317804,6.201334909574017,98.0,76.0,52812.0,18.73377703826955,0.6258496070575769,21.0,17.0,11259.0,60.2712146422629,1.8607031811400598,64.0,56.0,36223.0,471.05158069883527,11.383015707019373,493.0,447.0,283102.0,510.108153078203,7.894897154579809,527.0,496.0,306575.0,Oyster Sauce
Trial 24,,,,,,85.98688524590163,5.930733385933667,96.0,75.0,52452.0,18.621311475409836,0.5998947323225259,22.0,17.0,11359.0,59.911475409836065,1.4605296996273935,63.0,56.0,36546.0,472.05409836065576,6.351095781805644,485.0,461.0,287953.0,515.0688524590164,3.9399401253504363,526.0,508.0,314192.0,Oyster Sauce
Trial 25,24.204918032786885,0.862122091978913,27.0,22.0,14765.0,122.28852459016393,0.6861865063716069,124.0,120.0,74596.0,20.111475409836064,0.8341282601095329,23.0,18.0,12268.0,64.39508196721312,1.8868767002128057,69.0,61.0,39281.0,438.5639344262295,6.147104683971152,458.0,427.0,267524.0,570.5803278688525,11.021630293143184,604.0,556.0,348054.0,Oyster Sauce
Trial 3,19.55241264559068,0.5071846563600652,21.0,18.0,11751.0,114.66722129783693,12.66327273280634,133.0,92.0,68915.0,16.84026622296173,0.40517771496718996,18.0,16.0,10121.0,56.742096505823625,3.480161259675887,62.0,50.0,34102.0,311.8951747088186,17.777062564497427,336.0,277.0,187449.0,398.8885191347754,16.665123483955668,425.0,372.0,239732.0,Oyster Sauce
Trial 4,19.186356073211314,0.45262797034061375,20.0,18.0,11531.0,105.26123128119801,10.530360724421667,121.0,87.0,63262.0,16.657237936772045,0.4781255256324436,17.0,15.0,10011.0,56.19800332778702,2.4695946719214743,60.0,52.0,33775.0,310.8901830282862,12.881564176775175,330.0,288.0,186845.0,444.8618968386023,25.47183813873138,485.0,413.0,267362.0,Oyster Sauce
Trial 5,18.96173044925125,0.3915067534427884,20.0,18.0,11396.0,98.96505823627288,9.534791901797607,115.0,84.0,59478.0,16.6522462562396,0.49677741453372215,20.0,16.0,10008.0,55.770382695507486,2.133760326609895,60.0,52.0,33518.0,311.36605657237936,10.671581022553594,329.0,293.0,187131.0,430.39767054908486,30.37469710451386,475.0,402.0,258669.0,Oyster Sauce
Trial 6,19.697674418604652,0.4592655269332907,20.0,19.0,11858.0,95.11295681063123,3.6858170604969387,102.0,90.0,57258.0,17.016611295681063,0.269840259880682,18.0,16.0,10244.0,51.30730897009967,0.889349906784133,53.0,49.0,30887.0,346.0215946843854,3.5946433174802337,354.0,341.0,208305.0,405.33554817275746,3.013320171116812,413.0,401.0,244012.0,Oyster Sauce
Trial 7,19.607321131447588,0.49846317397547185,21.0,18.0,11784.0,90.61397670549084,3.9624784668339745,98.0,85.0,54459.0,16.96339434276206,0.3489815835520715,18.0,16.0,10195.0,52.10648918469218,0.7264719891694067,54.0,50.0,31316.0,348.3793677204659,3.3412423486136626,358.0,343.0,209376.0,406.81198003327785,3.360174343725874,419.0,402.0,244494.0,Oyster Sauce
Trial 8,19.367720465890184,0.49914032091571486,21.0,18.0,11640.0,86.25956738768718,4.078576692035263,94.0,80.0,51842.0,16.762063227953412,0.4774011760118184,19.0,16.0,10074.0,50.79201331114809,0.872010380089716,53.0,48.0,30526.0,342.96339434276206,3.688628628271727,357.0,339.0,206121.0,402.65557404326125,5.08721012607242,421.0,396.0,241996.0,Oyster Sauce
Trial 9,19.40765391014975,0.5304768081159976,23.0,18.0,11664.0,86.73377703826955,5.112934940328483,96.0,79.0,52127.0,16.775374376039935,0.4173355400880895,17.0,16.0,10082.0,51.57404326123128,1.2840730970604268,54.0,49.0,30996.0,347.43760399334445,4.860775488780586,357.0,342.0,208810.0,403.44925124792013,4.312405616524673,413.0,398.0,242473.0,Oyster Sauce
Trial 1,28.346089850249584,3.9920914562321768,35.0,19.0,17036.0,317.7104825291181,81.397564055749,410.0,93.0,190944.0,38.02828618968386,8.419583298463134,49.0,17.0,22855.0,135.99667221297838,35.6865628907546,182.0,57.0,81734.0,551.4242928452579,64.04065895098185,612.0,331.0,331406.0,600.5806988352746,70.00753864928593,671.0,396.0,360949.0,Worcestershire Sauce
Trial 10,30.173044925124792,3.839544509822338,36.0,21.0,18134.0,325.2029950083195,70.08209156708732,399.0,109.0,195447.0,35.78202995008319,7.151142924774374,46.0,18.0,21505.0,121.70049916805324,27.94456390779945,154.0,49.0,73142.0,558.1580698835274,31.501736036493607,592.0,378.0,335453.0,612.6722129783694,45.055418379875114,658.0,470.0,368216.0,Worcestershire Sauce
Trial 11,31.86189683860233,4.925659907072326,39.0,20.0,19149.0,329.35108153078204,71.77315579778454,405.0,98.0,197940.0,34.47420965058236,7.493741176560027,45.0,17.0,20719.0,139.33943427620633,29.758058107156597,177.0,57.0,83743.0,537.8535773710482,66.81375901731903,604.0,320.0,323250.0,628.7054908485857,61.97617587299654,686.0,422.0,377852.0,Worcestershire Sauce
Trial 12,31.509151414309486,4.288319403510497,38.0,23.0,18937.0,298.6222961730449,76.92578333573066,388.0,118.0,179472.0,39.703826955074874,7.92637514620701,51.0,20.0,23862.0,129.6405990016639,34.00279839184522,172.0,58.0,77914.0,543.6023294509151,66.68329744122754,610.0,360.0,326705.0,625.7104825291182,62.71677380949739,684.0,449.0,376052.0,Worcestershire Sauce
